kommunenr,kommune,fil,dokumenttype,tittel,side,avsnitt,n_sterk,n_svak,treff,n_treff,format,url
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,2,"2 | Kommuneplanens samfunnsdel 2021-2040 Ordførers innledning Et godt sted å leve Drammen kommune er Norges sjuende største kommune målt i folketall. Med alle ressursene og mulighetene som ligger i kommunen vår, er det naturlig at vi har store ambisjoner på mange områder. Drammen kommune skal være et godt sted å leve for alle, og posisjonen som regionsenter av nasjonal betydning, skal styrkes fram mot 2040. Kommuneplanen er Drammen kommunes overordnete styringsverktøy når vi skal møte fremtidens utfordringer. Planen består av to deler. Samfunnsdelen legger føringer for utviklingen av både samfunnet og tjenestene, mens arealdelen legger føringer for arealutviklingen i kommunen. Til grunn for arbeidet med planen og valg av områder som er politisk prioritert i kommunen, ligger FNs 17 bærekraftsmål. Disse utgjør nå et globalt rammeverk for samfunnsutviklingen. Med visjonen «Et godt sted å leve» settes retningen for hvordan Drammen kommune skal utvikles i årene som kommer. Alle hovedmål, delmål og strategier skal bidra til at vi når denne visjonen, og verdiene nær, inkluderende og nytenkende legger premissene for hvordan det skal jobbes for å utvikle kommunen slik vi ønsker. Drammen er regionhovedstaden vest for Oslo og et sentralt knutepunkt mellom Oslo, Kongsbergregionen og Vestfold-byene. Innenfor en reiseavstand på ti mil bor det rundt to millioner mennesker, og kommunen er en naturlig del av bo- og arbeidsmarkedet på det sentrale østlandsområdet, med alle mulighetene dette gir. For å styrke grunnlaget for eksisterende næringsvirksomhet og legge til rette for etablering av nye næringer, er det viktig at kommunens geografiske plassering utnyttes til det beste for oss alle. Dette vil også legge grunnlaget for befolkningsvekst og utvikling av ulike tilbud innenfor kommunens grenser. Samtidig står Drammen kommune overfor utfordringer knyttet til blant annet økonomiske rammebetingelser, klimaendringer, demografiendringer og økte levekårsforskjeller. For å møte fremtidens utfordringer og sikre at Drammen kommune er et godt sted å leve for alle, er det tverrpolitisk enighet om at følgende seks områder prioriteres; god oppvekst og godt liv, klimaog miljøvennlig utvikling, omstillingsdyktig næringsliv, attraktive byer og tettsteder, mangfold og inkludering og deltakende innbyggere. Kommunens innbyggere er opptatt av fremtiden og utviklingen av lokalsamfunnet. Innbyggernes innspill til kommuneplanens samfunnsdel har vært av avgjørende betydning og gjort den bedre. Innbyggermedvirkning skal være et kjennetegn ved Drammen kommune, og det skal være enkelt og attraktivt å bidra i utviklingen av kommunen. Derfor tas nye nærdemokratiløsninger i bruk, og det etableres møteplasser mellom innbyggere, frivillige lag og foreninger og politikerne. Dette skal bidra til at flere stemmer blir hørt før det tas endelige beslutninger. Sammen skal vi gjøre Drammen kommune til en god kommune for alle som bor og jobber her – og en kommune som andre kan bli inspirert av! Monica Myrvold Berg Ordfører i Drammen kommune",3,4,"folketall, befolkningsvekst, demografiendringer, innbyggere",7,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,5,"Kommuneplanens samfunnsdel 2021-2040 | 5 papirfabrikkene vokste fram langs elva mot slutten av 1800-tallet, ble det skapt en helt ny form for eksporthandel. På det meste steg det fabrikkrøyk ut av pipene på 33 treforedlingsbedrifter langs Drammenselva. I samme periode vokste Berger og Fossekleven Fabrik fram. Også her var det den sildrende energien fra Bergerelven som skapte et helt lite industrisamfunn. I fabrikkene ble det produsert tepper, flaneller, dame- og herrestoffer, vadmel og møbelstoffer. Det meste produserte de selv, men blant annet bomullsgarn ble kjøpt fra Solberg Spinderi. Dette er én av mange tråder som har bundet, og fortsatt binder, oss sammen – fra Steinberg i vest til Berger i sør. Industrieventyrene levde i mer eller mindre 100 år både på Berger, i Drammen og i Solbergelva. I dag er det de nedskrevne historiene som best beskriver virkeligheten, men kulturminnene lever videre i de gamle fabrikklokalene. Både det som rører seg på Union Scene, på området rundt Solberg Spinderi og ved Fossekleiva kultursenter viser at datidens industrieventyr lever videre i veggene og i folks bevissthet. Gamle teglsteinsbygninger gjenbrukes og oser av kulturminner. I dag er alle attraktive kulturelle møteplasser. Mens Fossekleiva kultursenter og Berger museum ligger som en liten oase mellom stolte bjørketrær og de gamle arbeiderboligene på Berger, er de gamle fabrikklokalene på Union i dag en del av et moderne og urbant bymiljø. Drammen er en kommune med mange kontraster og et stort mangfold. Vi er en kommune med urbane bymiljøer, vi har landbruk og store fruktgårder, vi har naturen med store rekreasjonsområder tett på oss, og vi har innbyggere fra alle verdenshjørner. I Drammen har vi noe for alle. Hvordan Drammen ser ut om 30, 50 eller 100 år er vanskelig å spå. Men det som er sikkert, er at historien lever videre når vi møter fremtiden i den nye kommunen. Med de tre ulike historiene som fundament bygger vi nå en ny kommune som ivaretar alle gjennom livets ulike faser. Kommunen har store ambisjoner om å være tett på innbyggerne og spille en viktig rolle i deres liv. Vi skal sikre de yngste gode år i barnehagene og skolene hvor de kan oppleve utvikling og føle tilhørighet. Unge, voksne og eldre skal ha tilgang på gode fritidstilbud og aktivitetsmuligheter, og de eldre skal oppleve en trygg alderdom. Både de som er født og oppvokst her, og de som kommer flyttende i løpet av livet, skal kunne ta del i utviklingen av drammenssamfunnet og bidra i lokalsamfunnet når fremtidens utfordringer skal løses på nye måter. Drammen skal være et godt sted å leve - for alle!",0,3,"innbyggere, eldre",3,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,9,"Det har vært en omfattende involvering i forbindelse med kommuneplanens samfunnsdel, både i planfasen og i høringsperioden. I planfasen ble det gjennomført dialogmøter med næringslivet og med større foreninger og paraplyorganisasjoner, nettmøter med politikere, gjestebud, samt laget podkast av og for ungdom. Drammen kommune mottok nærmere 900 innspill, som ble systematisert og lagt til grunn for strategiforslagene. I høringsfasen ble det også gjennomført dialogmøter, podkasten var tilgjengelig og det ble lagt til rette for digitale gjestebud. I tillegg bidro nærutvalgene på ulike måter, det ble testet en digital medvirkningsløsning for innbyggere, laget film med politikere og gitt informasjon ved «Pop-up Bragernes». Det ble også avholdt møte i regionalt planforum med statlige og regionale myndigheter. Kommunen mottok 48 høringsinnspill. Høringsuttalelsene var av ulik art. Noen innspill har medført endringer av planforslaget etter vurdering og beslutning i politisk arbeidsgruppe og styringsgruppe. Andre innspill er foreslått håndtert gjennom revidert forslag til planprogram for kommuneplanens arealdel. Til slutt er noen innspill foreslått håndtert i andre pågående planprosesser, og lokalgeografiske høringsinnspill er foreslått håndtert/videresendt som innspill til andre relevante planprosesser og prosjekter. Medvirkning fra innbyggere, organisasjoner og næringsliv har vært veldig nyttig og bidratt positivt til utvikling av kommuneplanens samfunnsdel, slik den foreligger. Omfanget av innspill tidlig i prosessen har vist seg å være særlig positivt.",0,2,innbyggere,2,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,10,"10 | Kommuneplanens samfunnsdel 2021-2040 3 Sentrale utviklingstrekk I regjeringens perspektivmelding 2021 skisseres det sentrale utviklingstrekk for Norge som helhet. Trekkene er gjeldende også for Drammen, med de særtrekkene og utfordringene som er spesielle for vår kommune. Drammen er Norges sjuende største kommune målt i folketall og den nest største i Viken fylke. I nasjonal sammenheng er Drammen en storby og et knutepunkt for både personog godstrafikk med både E18, E134, Sørlandsbanen, Vestfoldbanen og Bergensbanen som sentrale transportårer gjennom kommunen. Drammen har én av landets sentrale stamnetthavner som kobler sjø sammen med vei og bane. Det er kort vei og gode kollektivforbindelser til flyplassene Gardermoen og Torp, og Flytoget har sin endestasjon i Drammen. I tillegg har kommunen sykehus, universitet og statlige virksomheter som blant annet Husbankens hovedkontor. Drammen er et naturlig regionalt senter for tjenester, handel og kultur. Drammen kommune hadde 101.859 innbyggere ved inngangen til 2020. Fram mot 2040 forventes det en svak økning i folketall med en anslått årlig vekst på 0,5 prosent. En slik vekst vil bety et innbyggertall i 2040 på om lag 111.400 innbyggere. Over en tiårsperiode fra 2006 til 2015 hadde de tre tidligere kommunene som har etablert Drammen kommune, til sammen en befolkningsvekst på mellom én og to prosent i året. De siste årene har veksten vært noe svakere enn i sammenlignbare kommuner og har variert mellom 0,3 og 0,8 prosent pr. år. Fram mot 2040 forventes det at antall innbyggere i arbeidsfør alder holder seg noenlunde stabilt, samtidig som antall eldre innbyggere stiger betraktelig. Prognosene for befolkningsutviklingen i perioden fram til 2040 viser en vekst på rundt 3,3 prosent i innbyggertallet mellom 18 og 66 år, mens veksten i antall innbyggere over 67 år forventes å ligge på i overkant av 50 prosent. I aldersgruppen over 80 år vil antallet innbyggere dobles. Befolkningsutviklingen vil øke behovet for helse- og omsorgstjenester, samtidig som det ikke ligger an til noen markant økning i innbyggere til å utføre oppgavene og finansiere kommunens tjenester. I 2021 har Drammen kommune 4,0 innbyggere i arbeidsfør alder pr. innbygger over 67 år. Fram mot 2040 vil dette tallet ifølge prognosene synke til 2,8 personer.",15,14,"folketall, innbyggertall, befolkningsvekst, antall innbyggere, arbeidsfør alder, antall eldre, befolkningsutviklingen, innbyggertallet, over 67, over 80, innbyggere, eldre, prognosene",29,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,10,"2040 Figur 3: Innbyggere i arbeidsfør alder pr. innbygger over 67 år, 2021 vs 2040",2,1,"arbeidsfør alder, over 67, innbyggere",3,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,10,"Figur 4: Alderssammensetning Drammen 2020-2040, SSB fremskriving MMMM 18. aug. 2020",3,1,"alderssammensetning, fremskriving, mmmm, ssb",4,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,11,"Kommuneplanens samfunnsdel 2021-2040 | 11 Utviklingen i befolkningssammensetningen medfører behov for effektivisering, prioritering og omlegging av det kommunale tjenestetilbudet. Det er nødvendig å dreie både innsatsen og kapasiteten dit behovet for tjenester øker. Flere oppgaver må løses på andre måter og med mindre ressurser. Fordelingen i utdanningsnivå er nokså jevn i Drammen kommune. I underkant av en tredel av innbyggerne i arbeidsfør alder har høyere utdanning. I overkant av en tredel har fullført videregående opplæring, og omtrent en tredel har fullført grunnskolen. Av de ti største kommunene i landet er Drammen blant de med lavest utdanningsnivå i befolkningen, og det er nokså stort frafall i den videregående skolen. I underkant av 30 prosent av Drammen kommunes innbyggere har innvandrerbakgrunn. De er enten født i utlandet og har flyttet til Norge eller er norskfødte med innvandrerforeldre. Kommunen har innbyggere med bakgrunn i rundt 150 land. En relativt høy andel av kommunens innbyggere har levekårsutfordringer. Rundt hvert femte barn vokser opp i familier med vedvarende lav inntekt. Mange av dem kommer fra familier med innvandrerbakgrunn hvor foreldrenes utdanningsnivå er lavt og tilknytning til arbeidslivet er svak. Levekårsutfordringer har en tendens til å forsterke hverandre negativt, både på individnivå og områdenivå. Dette gir en økt risiko for at utfordringene brer seg og går i arv. Drammen kommune er en naturlig del av det felles bo- og arbeidsmarkedet på Østlandet. I overkant av 21.000 innbygger pendler ut av kommunen for å jobbe, mens det er i underkant av 18.000 som pendler inn til kommunen og jobb i Drammen. Kommunen har en mangfoldig næringsstruktur hvor alle bransjer er representert, med unntak av fiske og olje og gass, men antall arbeidsplasser som krever høy kompetanse, er begrenset. Det har de siste årene vært en svak økning i antall sysselsatte, men økningen har likevel vært lavere enn befolkningsøkningen. Sysselsettingsgraden har derfor sunket noe gjennom den siste tiårsperioden, og den er lavere enn i landet for øvrig. Økningen i antall arbeidsplasser har for det meste kommet innen offentlig forvaltning. Veksten i private arbeidsplasser er lavere enn landsgjennomsnittet, til tross for at Drammen har en høyere etablering av nye foretak enn gjennomsnittet for landet. Drammen har en topografi som gjør at kommunen er spesielt utsatt for både flom- og rasfare. Klimaendringer forsterker disse utfordringene og gjør sentrale boområder i kommunen ekstra utsatt for uønskede hendelser. Å redusere de menneskeskapte klimagassutslippene står sentralt når klimaendringene skal motvirkes. En sirkulær økonomi med fokus på bedre forvaltning av felles ressurser er også et viktig bidrag på veien mot et lavutslippssamfunn. Drammen kommune har lavere skatteinntekter enn mange sammenlignbare kommuner. Dette henger sammen med både næringsstrukturen, sysselsettingsgraden og utdanningsnivået. Kommunens tjenester drives effektivt og til en lavere kostnad enn tilsvarende tjenester i mange andre kommuner. Likevel medfører kommunens inntektsnivå utfordringer i dag, og disse utfordringene vil forsterkes i årene som kommer, når andelen innbyggere i arbeidsfør alder synker samtidig som det blir flere eldre som vil ha behov for helse- og omsorgstjenester. Som vedlegg til kommuneplanens samfunnsdel er det utarbeidet et detaljert faktagrunnlag om Drammen som gir bakgrunnsinformasjon om utviklingstrekk for ulike samfunnsområder. Kommunen har utarbeidet en helhetlig risiko- og sårbarhetsanalyse (ROS-analyse) i henhold til forskrift om kommunal beredskapsplikt og sivilbeskyttelsesloven, som ble behandlet av Formannskapet 5.5.2020. Utfordringsbildet ROS-analysen beskriver er lagt til grunn for kommunestyrets prioritering av planoppgaver i vedtatt planstrategi (16.06.2020), arbeidet med kommuneplanens samfunnsdel og videre arbeid med revidert beredskapsplan (sist vedtatt 11.11.2019).",9,10,"befolkningssammensetningen, arbeidsfør alder, innvandrerbakgrunn, fødte, innvandrerforeldre, befolkningsøkningen, flere eldre, befolkningen, innbyggere, eldre",19,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,12,"12 | Kommuneplanens samfunnsdel 2021-2040 4 Politiske satsingsområder Fremtidens utfordringer vil stille store krav til hele samfunnet. Flere vil ha behov for kommunale tjenester, blant annet som følge av endringer i demografien. Samtidig må nye og mer effektive løsninger utvikles når kommunens visjon skal realiseres. FNs bærekraftmål står sentralt i utviklingen av Drammen kommune. De tre dimensjonene økologisk, sosial og økonomisk bærekraft henger tett sammen og påvirker hverandre. På samme måte henger kommunens satsingsområder sammen og må ses i sammenheng når Drammen skal utvikles til en bedre kommune å bo i eller drive næringsvirksomhet i – og et mer bærekraftig samfunn. Sammen med kommunens visjon, verdier, mål, muligheter og utfordringer og innbyggernes innspill utgjør FNs bærekraftmål grunnlaget for følgende seks likeverdige politiske satsingsområder: Satsingsområdene skal ha ekstra oppmerksomhet i planperioden, og hvert område inneholder ett hovedmål med flere delmål som forteller hvordan vi vil ha det, og tilhørende strategier om hvordan vi gjør det.",1,0,demografien,1,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,14,"14 | Kommuneplanens samfunnsdel 2021-2040 4.1 God oppvekst og godt liv Kommunen tilbyr tjenester som er viktige for innbyggerne gjennom hele livet for å sikre god folkehelse. Gode tjenester, et variert aktivitetstilbud og gode bomiljøer er nødvendig for at alle skal oppleve livet som godt og trygt. Ambisjonene er høye knyttet til både oppvekst og sysselsetting, og det er viktig å sikre god inkludering og utjevning av sosiale forskjeller for å motvirke utenforskap. Det er derfor viktig med tidlig og samordnet innsats for å sikre en mest mulig effektiv bruk av kommunens ressurser. Prognosene for befolkningsutviklingen viser at det blir færre hender til å pleie eldre og syke med behov for omsorgstjenester. Det må derfor utvikles en moderne eldreomsorg med et mangfold av løsninger som fanger opp flest mulig. Hovedmål Drammen har gode tjenester og aktiviteter for alle gjennom hele livet. Dette politiske satsingsområdet møter følgende bærekraftsmål.",1,4,"befolkningsutviklingen, prognosene, eldre",5,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,18,"18 | Kommuneplanens samfunnsdel 2021-2040 4.3 Omstillingsdyktig næringsliv Et nytenkende, mangfoldig og innovativt næringsliv er viktig for å sikre fremtidens sysselsetting og legge grunnlaget for vekst i folketallet, større skatteinntekter og god velferd. Drammen har et geografisk fortrinn som knutepunkt vest for Oslo, og kommunen har alle forutsetninger for å være en nytenkende og imøtekommende vertskommune for næringslivet med en mangfoldig og miljøvennlig næringsprofil. Et godt samspill mellom næringslivet og utdanningsinstitusjonene er avgjørende for å tiltrekke seg studenter og viktig kompetanse. Hovedmål Drammen er et næringssentrum. Dette politiske satsingsområdet møter følgende bærekraftsmål.",1,0,folketallet,1,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
