kommunenr,kommune,fil,dokumenttype,format,nedlasting,sider,demografi_avsnitt
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,pdf,finnes,28,12
3301,Drammen,3301_drammen_drammenstrender_2023,kunnskapsgrunnlag,pdf,finnes,203,0
3303,Kongsberg,3303_kongsberg_samfunnsdel_2026-2040,samfunnsdel,pdf,finnes,28,8
3303,Kongsberg,3303_kongsberg_planstrategi_2024-2027,planstrategi,pdf,finnes,45,14
3303,Kongsberg,3303_kongsberg_befolkningsframskriving_prognosesenteret,kunnskapsgrunnlag,pdf,finnes,43,39
3305,Ringerike,3305_ringerike_samfunnsdel_2021-2030,samfunnsdel,pdf,finnes,56,6
3305,Ringerike,3305_ringerike_samfunnsdel_2021-2030_bakgrunn,kunnskapsgrunnlag,pdf,finnes,48,12
3305,Ringerike,3305_ringerike_areal_befolkning_boliger,kunnskapsgrunnlag,pdf,finnes,12,2
3310,Hole,3310_hole_samfunnsdel_2018-2030,samfunnsdel,pdf,finnes,16,5
3312,Lier,3312_lier_samfunnsdel_2019-2028,samfunnsdel,pdf,finnes,13,12
3312,Lier,3312_lier_samfunnsdel_2040_horing,samfunnsdel,pdf,finnes,23,8
3312,Lier,3312_lier_planstrategi_2024-2027,planstrategi,pdf,finnes,21,6
3312,Lier,3312_lier_kunnskapsgrunnlag_2023,kunnskapsgrunnlag,pdf,finnes,54,16
3312,Lier,3312_lier_temaplan_helse_omsorg_velferd_2026-2034_horing,helse_omsorg,pdf,finnes,27,17
3314,Øvre Eiker,3314_ovre-eiker_samfunnsdel_2021-2033,samfunnsdel,pdf,finnes,33,14
3314,Øvre Eiker,3314_ovre-eiker_planstrategi_2025-2028_utkast,planstrategi,pdf,finnes,26,12
3314,Øvre Eiker,3314_ovre-eiker_strategi_helse_velferd_2025-2035,helse_omsorg,pdf,finnes,9,3
3316,Modum,3316_modum_samfunnsdel_2022-2032,samfunnsdel,pdf,finnes,41,12
3318,Krødsherad,3318_krodsherad_samfunnsdel_2019-2032,samfunnsdel,pdf,finnes,20,7
3318,Krødsherad,3318_krodsherad_planstrategi_2024-2027,planstrategi,pdf,finnes,26,10
3318,Krødsherad,3318_krodsherad_planstrategi_2024-2027_vedlegg3,planstrategi,pdf,finnes,14,3
3320,Flå,3320_flaa_samfunnsdel_2022-2034,samfunnsdel,pdf,finnes,24,7
3322,Nesbyen,3322_nesbyen_samfunnsdel_2018-2030,samfunnsdel,pdf,finnes,39,16
3322,Nesbyen,3322_nesbyen_samfunnsdel_statistikk,kunnskapsgrunnlag,pdf,finnes,12,15
3322,Nesbyen,3322_nesbyen_planstrategi_2024-2027,planstrategi,pdf,finnes,16,4
3324,Gol,3324_gol_samfunnsdel_2018-2030,samfunnsdel,pdf,finnes,16,15
3324,Gol,3324_gol_kunnskapsgrunnlag_2018-2030,kunnskapsgrunnlag,pdf,finnes,2,0
3324,Gol,3324_gol_planstrategi_2024-2027,planstrategi,pdf,finnes,20,20
3324,Gol,3324_gol_planprogram_samfunnsdel_2026-2038,planprogram,pdf,finnes,6,2
3326,Hemsedal,3326_hemsedal_samfunnsdel_2019-2030,samfunnsdel,pdf,finnes,16,14
3326,Hemsedal,3326_hemsedal_planstrategi_2024-2027,planstrategi,pdf,finnes,12,3
3328,Ål,3328_aal_kommuneplan_2015-2027_tekstdel,samfunnsdel,pdf,finnes,24,5
3328,Ål,3328_aal_planstrategi_2024-2027,planstrategi,pdf,finnes,18,0
3330,Hol,3330_hol_samfunnsdel_2018-2030,samfunnsdel,pdf,finnes,36,13
3330,Hol,3330_hol_planstrategi_2024-2027,planstrategi,pdf,finnes,32,18
3330,Hol,3330_hol_kommunedelplan_helse_omsorg_2025-2037,helse_omsorg,pdf,finnes,17,8
3332,Sigdal,3332_sigdal_samfunnsdel_2022-2035,samfunnsdel,pdf,finnes,28,8
3332,Sigdal,3332_sigdal_planstrategi_2024-2027,planstrategi,pdf,finnes,34,18
3334,Flesberg,3334_flesberg_samfunnsdel_2025-2040,samfunnsdel,framsikt,hentet,4,20
3334,Flesberg,3334_flesberg_kunnskapsgrunnlag,kunnskapsgrunnlag,framsikt,hentet,8,63
3334,Flesberg,3334_flesberg_planstrategi_planprogram_samfunnsdel,planstrategi,pdf,finnes,8,1
3336,Rollag,3336_rollag_samfunnsdel_2023-2033,samfunnsdel,framsikt,hentet,7,9
3336,Rollag,3336_rollag_samfunnsdel_2023-2033_saerutskrift,vedtak,pdf,finnes,7,2
3336,Rollag,3336_rollag_planprogram_samfunnsdel_2021-2033,planprogram,pdf,finnes,35,16
3336,Rollag,3336_rollag_planstrategi_2020-2023,planstrategi,pdf,finnes,35,17
3338,Nore og Uvdal,3338_nore-og-uvdal_samfunnsdel_tett_paa_folk,samfunnsdel,pdf,finnes,19,1
3338,Nore og Uvdal,3338_nore-og-uvdal_temaplan_helse_omsorg_2025-2030,helse_omsorg,pdf,finnes,15,21
3338,Nore og Uvdal,3338_nore-og-uvdal_planstrategi_2025-2028,planstrategi,framsikt,hentet,1,0
3338,Nore og Uvdal,3338_nore-og-uvdal_kommuneplangrunnlag_2024-2027,kunnskapsgrunnlag,framsikt,hentet,20,39
