kommunenr,kommune,fil,dokumenttype,tittel,status,format,url
3301,Drammen,3301_drammen_samfunnsdel_2021-2040,samfunnsdel,Kommuneplanens samfunnsdel 2021-2040,vedtatt,pdf,https://www.drammen.kommune.no/globalassets/om-kommunen/planer-og-strategier/dokumenter/kommuneplanenes-samfunnsdel.pdf
3301,Drammen,3301_drammen_drammenstrender_2023,kunnskapsgrunnlag,Drammenstrender 2023,vedtatt,pdf,https://www.drammen.kommune.no/globalassets/politikk-og-samfunn/planer/dokumenter/drammenstrender-2023.pdf
3303,Kongsberg,3303_kongsberg_samfunnsdel_2026-2040,samfunnsdel,Kommuneplanens samfunnsdel 2026-2040,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/79722939-4f31-4b4c-8671-244b088d4117.pdf
3303,Kongsberg,3303_kongsberg_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027,vedtatt,pdf,https://aimblob.blob.core.windows.net/aimfiles/bf68f5fb-32a1-4f06-b4af-b6f672e6566e.pdf
3303,Kongsberg,3303_kongsberg_befolkningsframskriving_prognosesenteret,kunnskapsgrunnlag,Prognosesenteret: befolkningsframskrivinger Kongsberg,rapport,pdf,https://aimblob.blob.core.windows.net/aimfiles/45a6121b-fc2e-4527-a0b4-655caa813f64.pdf
3305,Ringerike,3305_ringerike_samfunnsdel_2021-2030,samfunnsdel,Kommuneplanens samfunnsdel 2021-2030,vedtatt,pdf,https://www.ringerike.kommune.no/contentassets/c5820b409bd743fc865864dd1094c162/dokumenter-for-nettside/kommuneplanens-samfunnsdel-2021-2030-staende.pdf
3305,Ringerike,3305_ringerike_samfunnsdel_2021-2030_bakgrunn,kunnskapsgrunnlag,Kommuneplanens samfunnsdel 2021-2030 - bakgrunn for mål og strategier,vedtatt,pdf,https://www.ringerike.kommune.no/contentassets/c5820b409bd743fc865864dd1094c162/dokumenter-for-nettside/kommuneplanens-samfunnsdel-2021-2030---bakgrunn-for-mal-og-strategier_versjon-1.0.pdf
3305,Ringerike,3305_ringerike_areal_befolkning_boliger,kunnskapsgrunnlag,"Vedlegg 2 - oversikt over areal, befolkning og boliger innenfor langsiktig grense for vekst",vedtatt,pdf,https://www.ringerike.kommune.no/contentassets/c5820b409bd743fc865864dd1094c162/dokumenter-for-nettside/vedlegg-2-oversikt-over-areal-befolkning-og-boliger-innenfor-langsiktig-grense-for-vekst.pdf
3310,Hole,3310_hole_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,vedtatt,pdf,https://www.hole.kommune.no/download/18.f48e3b519a0f6dc2c38f64/1761644578326/Kommuneplanens+samfunnsdel+2018-30.pdf
3312,Lier,3312_lier_samfunnsdel_2019-2028,samfunnsdel,Kommuneplanens samfunnsdel 2019-2028,vedtatt,pdf,https://www.lier.kommune.no/globalassets/10.-politikk-og-samfunn/samfunn/kommuneplan/kommuneplanens-samfunnsdel/handlingsplanenssamfunnsdel_2019-2028.pdf
3312,Lier,3312_lier_samfunnsdel_2040_horing,samfunnsdel,Kommuneplanens samfunnsdel 2040 - høringsutkast,høringsutkast,pdf,https://www.lier.kommune.no/contentassets/9ed5c719c1ea4031a93d7b8fef432610/kommuneplanens-samfunnsdel-2040---horingsutkast.pdf
3312,Lier,3312_lier_planstrategi_2024-2027,planstrategi,Planstrategi 2024-2027 med vedtak i kommunestyret,vedtatt,pdf,https://www.lier.kommune.no/globalassets/10.-politikk-og-samfunn/samfunn/planer/planer-og-rapporter/planstrategi-2024-2027-med-vedtak-i-kommunestyret.pdf
3312,Lier,3312_lier_kunnskapsgrunnlag_2023,kunnskapsgrunnlag,Kunnskapsgrunnlag 2023 for Lier kommune,rapport,pdf,https://www.lier.kommune.no/globalassets/10.-politikk-og-samfunn/samfunn/planer/planer-og-rapporter/kunnskapsgrunnlag-2023-for-lier-kommune.pdf
3312,Lier,3312_lier_temaplan_helse_omsorg_velferd_2026-2034_horing,helse_omsorg,"Temaplan for helse, omsorg og velferd 2026-2034 - høringsutkast",høringsutkast,pdf,https://www.lier.kommune.no/contentassets/4bcda05a87854e38a1cfb49831d35e02/horingsutkast-temaplan-helse-omsorg-og-velferd-2026-2034-1-pdf.pdf
3314,Øvre Eiker,3314_ovre-eiker_samfunnsdel_2021-2033,samfunnsdel,Kommuneplanens samfunnsdel 2021-2033,vedtatt,pdf,https://ovre-eiker.kommune.no/_f/p1/i4cb126ce-f1d5-41a1-9126-b656ed445ee9/kommuneplanens-samfunnsdel-2021-2033-egengodkjenning-2022.pdf
3314,Øvre Eiker,3314_ovre-eiker_planstrategi_2025-2028_utkast,planstrategi,Planstrategi 2025-2028 - utkast pr. 27. mars 2025,utkast,pdf,https://ovre-eiker.kommune.no/_f/p1/i528bde89-d603-4535-8e5e-4a8f3c4c3868/forslag-planstrategi-2025-2028.pdf
3314,Øvre Eiker,3314_ovre-eiker_strategi_helse_velferd_2025-2035,helse_omsorg,Strategi for helse- og velferdstjenester 2025-2035,vedtatt,pdf,https://ovre-eiker.kommune.no/_f/p1/i65019957-30cb-43ae-b099-485eb4d72229/strategi-helse-og-velferdstjenester-2025-2035.pdf
3316,Modum,3316_modum_samfunnsdel_2022-2032,samfunnsdel,Kommuneplanens samfunnsdel - endelig vedtatt i kommunestyret,vedtatt,pdf,https://www.modum.kommune.no/download/18.2b2ef61194d8525c6b608f/1739174339683/Kommuneplanens%20samfunnsdel%20-%20endelig%20vedtatt%20i%20kst%20.pdf
3318,Krødsherad,3318_krodsherad_samfunnsdel_2019-2032,samfunnsdel,Kommuneplanens samfunnsdel 2019-2032,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/i833bfeae-034b-4242-8c7b-a264c1624ab1/kommuneplanens-samfunnsdel.pdf
3318,Krødsherad,3318_krodsherad_planstrategi_2024-2027,planstrategi,Kommunal planstrategi 2024-2027,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/ie1466983-ed57-442b-ad04-5ca8867c47e4/planstrategi-2024-2027.pdf
3318,Krødsherad,3318_krodsherad_planstrategi_2024-2027_vedlegg3,planstrategi,Kommunal planstrategi 2024-2027 - vedlegg 3,vedtatt,pdf,https://www.krodsherad.kommune.no/_f/p12/ia3f23b28-5d0c-46b8-b46f-6c417b7f9d17/planstrategi-2024-2027-vedlegg-3.pdf
3320,Flå,3320_flaa_samfunnsdel_2022-2034,samfunnsdel,Kommuneplanens samfunnsdel 2022-2034 - Flå først i Hallingdal,vedtatt,pdf,https://www.flaa.kommune.no/globalassets/sivert/kommuneplanens-samfunnsdel-2022-2034.pdf
3322,Nesbyen,3322_nesbyen_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,vedtatt,pdf,https://www.nesbyen.kommune.no/contentassets/0b702e94d7554cfdb0920b3628543719/kommuneplanens-samfunnsdel----vedtatt-210618.pdf
3322,Nesbyen,3322_nesbyen_samfunnsdel_statistikk,kunnskapsgrunnlag,Kommuneplanens samfunnsdel - statistikkhefte,vedtatt,pdf,https://www.nesbyen.kommune.no/contentassets/0b702e94d7554cfdb0920b3628543719/kommuneplanens-samfunnsdel---statistikk-210618.pdf
3322,Nesbyen,3322_nesbyen_planstrategi_2024-2027,planstrategi,Kommunal planstrategi 2024-2027,vedtatt,pdf,https://www.nesbyen.kommune.no/contentassets/0e1660488563479ab12e74392052e2fa/vedtatt-planstrategi-5.sept-24.pdf
3324,Gol,3324_gol_samfunnsdel_2018-2030,samfunnsdel,Kommuneplanens samfunnsdel 2018-2030,vedtatt,pdf,https://www.gol.kommune.no/siteassets/planar-og-regulering/kommuneplanar/samfunnsdel/kommuneplanens-samfunnsdel-2018-2030-vedteken.pdf
