"Region","Kjonn","Alder","ContentsCode","Tid","verdi","status","Region_tekst","Kjonn_tekst","Alder_tekst","ContentsCode_tekst","Tid_tekst","ssb_tabell","hentet_utc"
"3101","2","000","Personer1","2005",0,,"Halden","Kvinner","0 år","Personer","2005","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2006",0,,"Halden","Kvinner","0 år","Personer","2006","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2007",0,,"Halden","Kvinner","0 år","Personer","2007","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2008",0,,"Halden","Kvinner","0 år","Personer","2008","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2009",0,,"Halden","Kvinner","0 år","Personer","2009","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2010",0,,"Halden","Kvinner","0 år","Personer","2010","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2011",0,,"Halden","Kvinner","0 år","Personer","2011","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2012",0,,"Halden","Kvinner","0 år","Personer","2012","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2013",0,,"Halden","Kvinner","0 år","Personer","2013","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2014",0,,"Halden","Kvinner","0 år","Personer","2014","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2015",0,,"Halden","Kvinner","0 år","Personer","2015","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2016",0,,"Halden","Kvinner","0 år","Personer","2016","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2017",0,,"Halden","Kvinner","0 år","Personer","2017","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2018",0,,"Halden","Kvinner","0 år","Personer","2018","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2019",0,,"Halden","Kvinner","0 år","Personer","2019","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2020",0,,"Halden","Kvinner","0 år","Personer","2020","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2021",0,,"Halden","Kvinner","0 år","Personer","2021","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2022",0,,"Halden","Kvinner","0 år","Personer","2022","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2023",0,,"Halden","Kvinner","0 år","Personer","2023","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2024",127,,"Halden","Kvinner","0 år","Personer","2024","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2025",137,,"Halden","Kvinner","0 år","Personer","2025","07459","2026-09-10 13:01:08 UTC"
"3101","2","000","Personer1","2026",114,,"Halden","Kvinner","0 år","Personer","2026","07459","2026-09-10 13:01:08 UTC"
"3101","2","001","Personer1","2005",0,,"Halden","Kvinner","1 år","Personer","2005","07459","2026-09-10 13:01:08 UTC"
"3101","2","001","Personer1","2006",0,,"Halden","Kvinner","1 år","Personer","2006","07459","2026-09-10 13:01:08 UTC"
