"kommunenr_2024","år","folk_ialt","demens_estimert","demensandel","y1_predikert","y1_predikert_modell"
"0301",2026,727515,11227.042548,0.0154320427042741,17826.3414716191,19728.4147161909
"0301",2027,732102,11616.132051,0.0158668219059639,17955.0140325828,20087.8293278752
"0301",2028,736558,12043.218051,0.0163506717067767,18115.7681603699,20476.5323449708
"0301",2029,740922,12515.535399,0.0168918393555597,18313.4462798305,20901.8060227318
"0301",2030,745187,13044.882753,0.0175055157336346,18554.8121078354,21374.2484313414
"0301",2031,749367,13573.781956,0.0181136638736427,18832.8225370672,21850.9044767555
"0301",2032,753420,14126.998961,0.0187504963513047,19154.2254140485,22351.0781970723
"0301",2033,757356,14666.838365,0.0193658442859105,19510.9541752056,22845.2184143602
"0301",2034,761203,15215.580934,0.0199888609661286,19909.7078713565,23351.7696783912
"0301",2035,764957,15781.541332,0.0206306254233898,20355.1308355343,23878.1561955069
"0301",2036,768590,16334.719097,0.021252838440521,20837.4289171969,24399.0608783092
"0301",2037,772031,16906.62608,0.0218988953552383,21369.4036330839,24940.6656255296
"0301",2038,775235,17437.559398,0.0224932561068579,21924.4458134041,25450.3560243711
"0301",2039,778210,17953.849089,0.0230706995399699,22512.1020462183,25950.4928446269
"0301",2040,780977,18471.797761,0.0236521661470184,23140.5668871408,26455.9070194252
"0301",2041,783551,18984.801719,0.0242291844678904,23806.683860665,26960.9379028906
"0301",2042,785947,19487.68276,0.0247951614549073,24507.1183322144,27460.8833317348
"0301",2043,788175,20002.816709,0.0253786490424081,25257.0758067146,27977.1366870706
"0301",2044,790249,20525.185091,0.0259730605049801,26055.3250402425,28505.7419874096
"0301",2045,792189,21067.232774,0.0265936951586048,26913.9349095271,29059.8429655718
"0301",2046,794016,21613.968271,0.027221073972061,27824.1200540816,29625.7294753901
"0301",2047,795750,22153.308784,0.0278395335017279,28776.7823114482,30191.6561255754
"0301",2048,797405,22694.224573,0.0284600981596554,29780.5560720201,30766.952510292
"0301",2049,798996,23258.081917,0.0291091343598716,30858.7455631061,31374.7356499804
"0301",2050,800540,23856.755055,0.0298008282596747,32029.4828258059,32029.4828258059
"1101",2026,14615,350.137565,0.0239574112213479,619.775641247739,707.756412477386
"1101",2027,14634,362.415007,0.0247652731310646,625.722356087233,724.344407907148
"1101",2028,14653,373.692581,0.0255028035897086,632.734243579459,739.909963311196
"1101",2029,14672,389.277067,0.0265319702153762,642.257260983964,761.798875218655
"1101",2030,14690,406.170958,0.0276494865895167,654.039623026554,786.158492106215
"1101",2031,14708,422.379831,0.0287176931601849,667.561429102626,810.213666443916
"1101",2032,14725,436.724036,0.0296586781663837,682.174879402089,832.076552006427
"1101",2033,14742,453.651201,0.0307727039072039,700.095838387868,858.540243828602
"1101",2034,14758,468.952516,0.0317761563897547,719.254855862933,883.137139657331
"1101",2035,14775,483.849235,0.0327478331641286,740.251651077078,907.718059604751
"1101",2036,14792,496.919862,0.0335938251757707,761.911265096874,929.813189677629
"1101",2037,14808,517.375208,0.0349388984332793,792.108706170774,965.334060821021
"1101",2038,14821,532.346055,0.0359183627960327,820.177207419823,992.140377126951
"1101",2039,14833,546.046121,0.0368129253016922,849.277565301702,1017.28096221566
"1101",2040,14843,557.333576,0.0375485802061578,877.775620848711,1038.44099335794
"1101",2041,14851,569.107999,0.0383211904248872,908.760157939176,1060.95872896479
"1101",2042,14858,583.944839,0.0393017121416072,946.006098405523,1090.00871200789
"1101",2043,14863,599.156002,0.0403119156294153,986.569842114805,1120.60317574889
"1101",2044,14867,609.350898,0.0409868095782606,1021.96692840251,1141.57023019679
"1101",2045,14869,617.469062,0.0415272756742215,1055.69663158458,1158.54970041179
"1101",2046,14870,625.967895,0.0420960252185609,1091.61262859637,1176.60309246632
"1101",2047,14869,639.284993,0.0429944846997108,1138.49560509525,1205.48800574113
"1101",2048,14867,651.233098,0.0438039347548261,1185.37493753057,1232.02695949251
"1101",2049,14862,660.846633,0.0444655250302786,1229.72249072941,1253.86752283575
"1101",2050,14856,671.633004,0.0452095452342488,1278.85953069625,1278.85953069625
"1103",2026,147630,2615.613179,0.0177173554087923,5109.24380200243,5444.43802002433
"1103",2027,148116,2715.199783,0.0183315764873478,5138.26656261995,5553.93863723599
"1103",2028,148604,2824.699342,0.0190082322279346,5177.56700691931,5675.24003953889
"1103",2029,149098,2943.817047,0.0197441752873949,5228.54366233413,5808.67605804295
"1103",2030,149593,3071.548418,0.0205327015167822,5292.42302940622,5953.69211762488
"1103",2031,150088,3208.378752,0.0213766507115825,5370.83423180666,6111.4234149797
"1103",2032,150574,3339.063219,0.0221755629723591,5459.80551466777,6265.2477374393
"1103",2033,151054,3482.002283,0.0230513742304077,5566.45173263897,6436.0047796937
"1103",2034,151530,3622.754845,0.0239078390087771,5686.28527990403,6607.71319976007
"1103",2035,152002,3768.570045,0.0247928977579242,5823.19183498611,6789.00990853968
"1103",2036,152467,3921.794296,0.0257222500344337,5979.84902086239,6983.26109655239
"1103",2037,152915,4052.308078,0.0265003961547265,6138.44517295591,7152.86863015788
"1103",2038,153336,4200.593565,0.0273946989943653,6323.97115826845,7348.31119685173
"1103",2039,153730,4340.225153,0.0282327792428283,6519.7371824868,7536.2335021052
"1103",2040,154101,4481.119678,0.029079108363995,6732.92699056214,7729.48318489943
"1103",2041,154446,4626.038556,0.0299524659492638,6966.82237503075,7932.10924532943
"1103",2042,154769,4744.463879,0.0306551304137133,7192.53181401639,8101.33116288056
"1103",2043,155069,4880.771161,0.031474834821918,7452.02406720202,8299.15127756206
"1103",2044,155349,5018.3405,0.0323036549961699,7730.84939343092,8502.7734108786
"1103",2045,155608,5151.418055,0.0331050977777492,8022.78486039804,8703.73521279759
"1103",2046,155847,5285.62194,0.0339154551579434,8334.66440865758,8910.42871606775
"1103",2047,156067,5406.25349,0.0346405933989889,8646.74637752681,9099.88324228373
"1103",2048,156268,5530.449745,0.0353908013476847,8981.53617174317,9298.5255910737
"1103",2049,156451,5660.183414,0.0361786336552659,9343.64806983721,9510.07591671398
"1103",2050,156617,5789.803957,0.0369679150858464,9725.75175990029,9725.75175990029
"1106",2026,38292,791.406288,0.0206676665622062,1202.89168342854,1327.91683428541
"1106",2027,38483,815.491614,0.0211909574097653,1211.62954597674,1353.57851619444
"1106",2028,38669,846.068694,0.021879766583051,1223.4257179044,1385.71838802512
"1106",2029,38851,874.032086,0.0224970293171347,1237.17335469172,1415.69813972576
"1106",2030,39028,906.648182,0.0232307108229989,1254.41845480611,1450.67381922443
"1106",2031,39202,942.2123,0.0240348017958267,1275.30889109163,1489.20483857959
"1106",2032,39371,970.794183,0.0246575952604709,1296.91694278361,1521.05213164189
"1106",2033,39535,1010.458204,0.0255585735171367,1325.33498337667,1565.09650586667
"1106",2034,39696,1043.159848,0.0262787144296655,1354.36151438251,1602.40378595628
"1106",2035,39853,1081.544707,0.0271383511153489,1389.2063787894,1646.61458009006
"1106",2036,40008,1119.994303,0.0279942587232553,1427.81268432774,1691.76354595314
"1106",2037,40158,1150.329328,0.0286450851138005,1465.38463203612,1728.28708689974
"1106",2038,40302,1189.929557,0.0295253227383256,1512.01948818802,1776.30816034186
"1106",2039,40440,1227.351021,0.0303499263353116,1561.25324752909,1822.62254898569
"1106",2040,40570,1264.874445,0.0311775806014296,1614.56777692184,1869.90844307495
"1106",2041,40694,1300.128848,0.0319489076522337,1670.10502708427,1915.19626729701
"1106",2042,40812,1330.560981,0.032602199867686,1725.212599831,1955.01799975857
"1106",2043,40923,1365.169562,0.0333594692959949,1787.80096632807,2000.93351366518
"1106",2044,41029,1400.878372,0.0341436148090375,1855.61858541149,2049.15301343418
"1106",2045,41129,1434.823634,0.0348859353254395,1925.8077288907,2095.84028171163
"1106",2046,41223,1467.61986,0.0356019663779929,1998.83068253701,2141.74197945531
"1106",2047,41312,1498.318492,0.0362683600890782,2073.33551066797,2185.43437821743
"1106",2048,41395,1529.960223,0.0369600247131296,2153.04455482974,2231.21032954567
"1106",2049,41472,1567.693612,0.0378012541473765,2245.67685190286,2286.84607989907
"1106",2050,41545,1602.724527,0.0385780365146227,2339.55048246821,2339.55048246821
"1108",2026,84545,1300.331459,0.0153803472588562,2056.08820869176,2362.88208691761
"1108",2027,85301,1357.999476,0.0159200885804387,2076.60087980506,2419.09730767319
"1108",2028,86039,1416.836845,0.016467379269866,2101.52760127563,2476.44343586075
"1108",2029,86762,1480.631594,0.0170654387174108,2131.65206923694,2538.0097375856
"1108",2030,87468,1547.932586,0.0176971302190515,2167.19725848075,2602.78903392299
"1108",2031,88158,1622.652999,0.0184061911454434,2209.49546042208,2674.15812320723
"1108",2032,88833,1697.49987,0.0191088882509878,2257.42314351648,2746.37890312764
"1108",2033,89492,1774.876881,0.0198327993675412,2311.81979366553,2821.50287907732
"1108",2034,90140,1854.578157,0.0205744193143998,2373.02420742721,2899.56051856803
"1108",2035,90779,1931.607873,0.0212781356150652,2439.49445501585,2976.27304003622
"1108",2036,91408,2015.008484,0.0220441152196744,2514.89894559633,3059.68199072911
"1108",2037,92023,2097.577348,0.0227940552687915,2596.73594233056,3143.43598503524
"1108",2038,92618,2179.703969,0.0235343450409208,2685.18884416655,3227.79789848463
"1108",2039,93194,2263.181175,0.0242846232053566,2781.3481869516,3314.50755225804
"1108",2040,93750,2347.666418,0.0250417751253333,2885.32735952848,3403.32377524557
"1108",2041,94287,2428.760938,0.0257592344437727,2994.51110641272,3489.94129269844
"1108",2042,94803,2513.726099,0.0265152590002426,3113.71411636441,3581.5915948063
"1108",2043,95299,2595.889719,0.0272394224388504,3238.58055257388,3671.60074925272
"1108",2044,95772,2679.114279,0.0279738783673725,3371.98397187457,3763.9148024188
"1108",2045,96221,2771.431556,0.0288027723262074,3521.36085400194,3867.36720492547
"1108",2046,96646,2850.110384,0.029490205326656,3667.09625461969,3957.4073583761
"1108",2047,97046,2937.773412,0.0302719680563856,3829.63604222544,4058.77300532444
"1108",2048,97420,3021.583609,0.031016050184767,3997.16284805871,4157.3111870905
"1108",2049,97769,3109.877069,0.0318084164612505,4178.63328782516,4262.65796137679
"1108",2050,98092,3198.470042,0.0326068389063328,4370.17674285309,4370.17674285309
"1111",2026,3144,90.60606,0.0288187213740458,171.184130683962,181.841306839617
"1111",2027,3131,92.739239,0.0296196866815714,172.070545454172,185.058512393975
"1111",2028,3118,94.956035,0.0304541484926235,173.237539986431,188.500228493893
"1111",2029,3105,98.395424,0.0316893475040258,175.120547107451,194.096692270355
"1111",2030,3092,101.75629,0.0329095375161708,177.443657147083,199.774628588333
"1111",2031,3078,106.065162,0.0344591169590643,180.749378643525,207.389143107914
"1111",2032,3065,109.107841,0.0355979905383361,183.968091105235,212.978741862263
"1111",2033,3052,113.570281,0.0372117565530799,188.684965327613,221.544731938242
"1111",2034,3040,117.570484,0.0386745013157895,193.834574167865,229.586435419664
"1111",2035,3029,120.271345,0.0397066176956091,198.541102781177,235.236806356975
"1111",2036,3018,127.114868,0.0421189092113983,208.094004469819,250.197904146988
"1111",2037,3008,129.748073,0.0431343327792553,214.238059825731,256.318165513622
"1111",2038,2998,134.038937,0.0447094519679787,223.126567363484,266.593758842698
"1111",2039,2989,138.203637,0.0462374161927066,232.872597515678,277.017187260728
"1111",2040,2979,141.766042,0.04758846659953,242.733916499703,286.374266399525
"1111",2041,2970,145.312582,0.0489267952861953,253.502706848275,296.041821657773
"1111",2042,2960,147.840515,0.0499461199324324,263.309463207332,303.299233153332
"1111",2043,2950,151.356512,0.0513072922033898,275.919506927764,313.619670410528
"1111",2044,2939,153.660883,0.0522833899285471,286.882205253494,320.815748714186
"1111",2045,2928,156.123711,0.0533209395491803,298.958935702177,328.718690094987
"1111",2046,2917,157.807001,0.0540990747343161,309.786532414967,334.454744017609
"1111",2047,2905,160.67223,0.0553088571428571,324.57307812901,344.166848596067
"1111",2048,2893,161.715692,0.0558989602488766,334.894115293404,348.263908425301
"1111",2049,2880,163.381742,0.0567297715277778,347.662292442162,354.584199939909
"1111",2050,2867,165.962171,0.0578870495291245,364.216251597747,364.216251597747
"1112",2026,3238,82.443527,0.0254612498455837,210.565529495667,170.655294956667
"1112",2027,3248,86.05502,0.0264947721674877,209.642859087469,176.038975181593
"1112",2028,3257,88.68898,0.0272302671169788,208.888377659306,180.076443767463
"1112",2029,3265,91.313927,0.0279675120980092,208.445953492387,184.15742819947
"1112",2030,3273,94.620765,0.0289094912923923,208.594092263085,189.376369052338
"1112",2031,3281,101.120231,0.0308199423956111,210.662999169895,199.914779721375
"1112",2032,3288,103.099884,0.0313564124087591,211.18833280938,203.271793259632
"1112",2033,3295,105.530033,0.0320273241274659,212.258691873529,207.437770685598
"1112",2034,3301,109.187682,0.0330771529839443,214.522328607805,213.805821519513
"1112",2035,3308,114.869437,0.0347247391172914,218.951082313052,224.031045286977
"1112",2036,3314,120.665625,0.0364108705491853,224.46124201688,234.918404246062
"1112",2037,3321,121.905179,0.0367073709725986,226.43470832653,237.311626002984
"1112",2038,3327,127.219866,0.0382386131650135,233.040823499116,247.80149727112
"1112",2039,3332,132.795278,0.039854525210084,241.008694634441,259.270118526708
"1112",2040,3337,135.411365,0.0405787728498651,246.124929114113,264.79988658258
"1112",2041,3342,140.690848,0.0420978001196888,255.630023220013,276.328336935869
"1112",2042,3346,145.311136,0.0434283132098027,265.263245531107,286.804636473011
"1112",2043,3349,146.732627,0.0438138629441624,270.366593654163,290.073347327679
"1112",2044,3352,151.771259,0.0452778218973747,282.478770557241,302.069381364182
"1112",2045,3355,155.324068,0.046296294485842,292.830043774301,310.790823106832
"1112",2046,3357,157.251669,0.0468429159964254,300.519874102835,315.611616591571
"1112",2047,3358,161.132204,0.0479845753424658,313.170182147037,325.61428974314
"1112",2048,3359,161.816713,0.0481740735337898,318.957306669461,327.386277480498
"1112",2049,3358,166.722249,0.0496492701012507,335.911620053148,340.622462392881
"1112",2050,3358,167.676668,0.0499334925550923,343.253163236291,343.253163236291
"1114",2026,2812,51.390008,0.0182752517780939,136.238591868962,129.385918689621
"1114",2027,2827,53.200043,0.0188185507605235,136.312938490171,132.003189019423
"1114",2028,2841,57.507029,0.020241826469553,137.151795885917,137.867405062384
"1114",2029,2854,60.533099,0.0212099155571128,138.099810412096,142.175578409865
"1114",2030,2868,64.102483,0.0223509354951186,139.588657882705,147.35463153082
"1114",2031,2882,64.823481,0.0224925333102012,140.347239968428,148.642573803229
"1114",2032,2896,69.607991,0.0240359084944751,143.089479801166,155.736860926664
"1114",2033,2910,74.922494,0.0257465615120275,146.753575633605,163.906415540979
"1114",2034,2923,76.951686,0.0263262695860417,149.097009833126,167.242524582816
"1114",2035,2937,80.771585,0.0275013908750426,152.957715935321,173.474779280733
"1114",2036,2951,84.101805,0.0284994256184344,156.985497568491,179.074731723139
"1114",2037,2965,87.300614,0.0294437146711636,161.386064429494,184.582564740477
"1114",2038,2979,90.888976,0.0305098945955018,166.636383402106,190.884333458374
"1114",2039,2993,95.05696,0.0317597594386903,173.061228190289,198.380813940917
"1114",2040,3007,97.997732,0.0325898676421683,178.773697315871,203.837915705394
"1114",2041,3020,101.584221,0.0336371592715232,185.763815022081,210.605758523895
"1114",2042,3032,104.516337,0.0344710874010554,192.48889984838,216.269856926258
"1114",2043,3044,106.429269,0.0349636231931669,198.241986145241,220.039981213886
"1114",2044,3055,110.868836,0.0362909446808511,208.233164182064,228.913760234922
"1114",2045,3065,112.969026,0.0368577572593801,215.173824537313,233.213937892077
"1114",2046,3074,116.385447,0.037861238451529,224.838322501082,240.339202942449
"1114",2047,3082,118.964597,0.0385998043478261,233.587099167942,245.830534273737
"1114",2048,3089,120.395698,0.0389756225315636,240.5150533732,248.908165808865
"1114",2049,3095,125.589866,0.0405783088852989,255.819699928592,260.449038886849
"1114",2050,3100,126.441907,0.0407877119354839,262.352677714447,262.352677714447
"1119",2026,19400,357.478584,0.0184267311340206,620.841054083662,664.41054083662
"1119",2027,19512,371.891587,0.0190596344300943,624.771574364302,679.793268104016
"1119",2028,19619,391.737569,0.0199672546511035,630.791340836562,700.521947637497
"1119",2029,19722,413.016798,0.0209419327654396,638.743041125173,723.026075883168
"1119",2030,19822,430.309827,0.0217086987690445,647.483139687892,741.932558751566
"1119",2031,19919,447.752191,0.0224786480747025,657.76368810232,761.265002095024
"1119",2032,20014,467.822574,0.0233747663635455,670.494860664482,783.676494352251
