"år","kommunenr_2024","observert","predikert"
2024,"0301",17875,18624.897065789
2024,"1101",675,667.522244741623
2024,"1103",5073,4999.10649827731
2024,"1106",1248,1249.62652858206
2024,"1108",2138,2349.6258778822
2024,"1111",172,172.198663131505
2024,"1112",204,143.57847406291
2024,"1114",147,130.473011983448
2024,"1119",642,640.918020214971
2024,"1120",803,759.742590815478
2024,"1121",616,694.423979006395
2024,"1122",425,405.712385573155
2024,"1124",953,894.93943630269
2024,"1127",367,375.181705779542
2024,"1130",416,451.79377777087
2024,"1133",101,114.898082832423
2024,"1134",200,211.676600082023
2024,"1135",192,264.560058927097
2024,"1144",30,29.1040432422226
2024,"1145",36,33.5928846744962
2024,"1146",315,311.731056724233
2024,"1149",1514,1474.33990894403
2024,"1151",8,5.21360235148902
2024,"1160",332,364.389187517894
2024,"1505",1090,1157.03280678132
2024,"1506",1076,1251.79164786215
2024,"1508",2489,2408.52468695142
2024,"1511",144,204.260085286982
2024,"1514",125,117.284426722321
2024,"1515",509,520.689420860623
2024,"1516",451,488.206509225181
2024,"1517",319,274.118778837654
2024,"1520",652,635.555872654086
2024,"1525",212,197.468882595604
2024,"1528",483,509.468231991548
2024,"1531",480,512.949193884884
2024,"1532",263,281.329279773916
2024,"1535",288,369.869295432463
2024,"1539",245,399.915278193138
2024,"1547",201,188.910732049999
2024,"1554",374,337.960260033652
2024,"1557",110,133.918857684516
2024,"1560",142,181.769592264889
2024,"1563",321,415.742116201993
2024,"1566",281,284.842209854534
2024,"1573",128,185.276986249335
2024,"1576",358,297.881055397637
2024,"1577",569,553.48980632392
2024,"1578",125,130.131884940606
2024,"1579",570,669.819696680373
2024,"1580",460,432.294056021998
2024,"1804",1891,1835.34271458053
2024,"1806",1310,1324.76458142751
2024,"1811",89,90.4647329730941
2024,"1812",102,122.465629410563
2024,"1813",582,651.928079762186
2024,"1815",128,126.818427532604
2024,"1816",31,35.9048177088133
2024,"1818",101,110.858975925182
2024,"1820",369,378.43584723652
2024,"1822",158,146.068480640051
2024,"1824",701,767.443086618528
2024,"1825",123,110.911731606967
2024,"1826",83,100.536089015656
2024,"1827",103,84.4189367859044
2024,"1828",85,88.2563449358296
2024,"1832",241,257.698623806485
2024,"1833",1144,1116.29845184761
2024,"1834",179,170.893601111542
2024,"1835",16,19.2027010787395
2024,"1836",98,80.1354680523795
2024,"1837",481,493.007423037507
2024,"1838",182,151.185827493297
2024,"1839",86,95.8890301272733
2024,"1840",286,319.757569898771
2024,"1841",429,436.82130239269
2024,"1845",95,81.9462440898768
2024,"1848",183,176.003094258715
2024,"1851",126,119.006122795273
2024,"1853",84,81.4476711185796
2024,"1856",37,36.4754343147546
2024,"1857",44,34.1529621228207
2024,"1859",54,60.6977351974064
2024,"1860",666,561.188975727954
2024,"1865",432,454.696532448357
2024,"1866",476,441.381990157494
2024,"1867",161,178.181237851387
2024,"1868",281,309.41618857404
2024,"1870",485,504.913496623263
2024,"1871",378,369.474474471769
2024,"1874",47,66.1024863733334
2024,"1875",220,260.098715321319
2024,"3101",1116,1159.15735392994
2024,"3103",2782,2777.50425546777
2024,"3105",2524,2544.57612835455
