"år","kommunenr_2024","observert","predikert"
2025,"0301",6157,6441.90988950912
2025,"1101",180,211.865647722869
2025,"1103",1350,1514.69231399771
2025,"1106",414,440.286244944621
2025,"1108",681,727.966421316915
2025,"1111",61,73.0167309862511
2025,"1112",67,40.2075957177771
2025,"1114",17,22.4166055380504
2025,"1119",141,191.877945093364
2025,"1120",99,128.274365945908
2025,"1121",141,149.555502326109
2025,"1122",86,88.3827271332311
2025,"1124",184,220.181554148677
2025,"1127",104,112.003071046763
2025,"1130",138,189.177958455369
2025,"1133",21,41.4704936296589
2025,"1134",46,74.4204071764425
2025,"1135",57,68.5081809549457
2025,"1144",11,14.1687747593408
2025,"1145",17,17.8368257596795
2025,"1146",99,103.075992889069
2025,"1149",384,398.361204273521
2025,"1160",88,94.5360101641488
2025,"1505",303,323.248254766449
2025,"1506",449,434.300393864085
2025,"1508",524,635.766999326817
2025,"1511",41,71.7928461903483
2025,"1514",42,48.8330558097536
2025,"1515",96,117.778360488372
2025,"1516",103,126.838508880748
2025,"1517",46,53.213031147127
2025,"1520",193,197.679424686705
2025,"1525",101,118.223562845171
2025,"1528",83,125.349878761192
2025,"1532",106,135.769850450569
2025,"1535",151,202.033296251583
2025,"1539",98,116.635061400772
2025,"1547",30,52.7717450230737
2025,"1554",63,80.6285532781328
2025,"1557",45,35.3907751710052
2025,"1560",41,41.7304102554521
2025,"1563",71,88.1025963714224
2025,"1566",74,104.710629733917
2025,"1573",28,34.225052143023
2025,"1576",41,55.0212145665325
2025,"1577",153,211.769671921847
2025,"1578",57,60.0589704960405
2025,"1579",156,180.546311000491
2025,"1580",86,121.316736040594
2025,"1804",420,494.290794956717
2025,"1806",279,353.795691037356
2025,"1811",44,22.1690133421061
2025,"1812",25,51.1155953083271
2025,"1813",109,110.878258818848
2025,"1815",27,31.0543006006802
2025,"1816",6,14.7333385623473
2025,"1818",39,43.6481331412739
2025,"1820",110,142.220838496211
2025,"1822",24,36.9106473709132
2025,"1824",212,233.835817450869
2025,"1825",18,24.0430476545699
2025,"1826",20,18.3514505659941
2025,"1827",33,24.6110322584581
2025,"1828",39,33.4937474426433
2025,"1832",103,116.197912480924
2025,"1833",279,508.070025018252
2025,"1834",70,70.1456254878318
2025,"1836",24,33.8522305833683
2025,"1837",77,101.243877356657
2025,"1838",46,53.853012248789
2025,"1839",19,30.1970546216546
2025,"1840",88,101.939699023683
2025,"1841",88,108.242224990063
2025,"1845",15,29.4405091004852
2025,"1848",44,53.6938738246834
2025,"1851",29,48.2996736102679
2025,"1853",29,41.8562068447322
2025,"1856",8,9.94314892481629
2025,"1857",6,19.1740745642646
2025,"1859",19,24.6778947421777
2025,"1860",114,152.540043220167
2025,"1865",117,161.890499795957
2025,"1866",78,101.443340153289
2025,"1867",43,58.5813738439293
2025,"1868",56,67.1190190717182
2025,"1870",118,119.020721980129
2025,"1871",95,121.985746129459
2025,"1874",16,28.3722005927469
2025,"1875",28,40.5679174031323
2025,"3101",371,534.808207912721
2025,"3103",584,635.000114829835
2025,"3105",719,809.852329235425
2025,"3107",738,863.286445596807
2025,"3110",62,53.5629225178417
2025,"3112",80,81.9619860714622
2025,"3114",40,47.8445814326799
2025,"3116",39,40.126214244007
2025,"3118",502,542.169019652246
2025,"3120",97,123.9903486409
2025,"3122",31,45.2845653620668
2025,"3124",14,16.1407347405825
2025,"3201",1393,1612.12874488399
2025,"3203",937,1067.33518098433
2025,"3205",798,854.767882226088
2025,"3207",664,687.287862433449
2025,"3209",252,265.412807452747
2025,"3212",208,184.543583953597
2025,"3214",200,177.460692959952
2025,"3216",138,144.666099168474
2025,"3218",148,192.96479364011
2025,"3220",73,74.0742828404747
2025,"3222",353,384.579959658858
2025,"3224",144,145.511892111523
2025,"3226",119,173.069878123257
2025,"3228",164,161.571273904963
2025,"3230",38,57.382858613997
2025,"3232",199,213.21325297382
2025,"3234",77,105.466971636972
2025,"3238",122,89.4570416900735
2025,"3240",225,291.459602911838
2025,"3242",37,43.4257277968401
2025,"3301",789,892.974433991267
2025,"3303",288,319.4131442472
2025,"3305",276,363.780862115822
2025,"3310",54,59.3889159180503
2025,"3312",264,266.873063975699
2025,"3314",193,221.911559683376
2025,"3316",191,239.418880088973
2025,"3318",24,26.5133465465438
2025,"3320",10,11.5032481864498
2025,"3324",79,71.0494806750711
2025,"3326",28,30.4867230430295
2025,"3328",68,67.1706683604204
2025,"3330",59,60.8398301158995
2025,"3332",30,44.9562757264322
2025,"3334",21,40.2514186464477
2025,"3336",22,19.6620510387225
2025,"3338",24,45.5371847135784
2025,"3401",263,254.732539268907
2025,"3403",476,498.955479874692
2025,"3405",322,410.337229389262
2025,"3407",372,377.174548879837
2025,"3411",319,435.286437273985
2025,"3412",58,82.8479907630638
2025,"3413",258,258.756825251852
2025,"3414",68,92.6757002141349
2025,"3415",58,81.700679549303
2025,"3416",143,68.9342852833874
2025,"3417",71,92.9769251121625
2025,"3418",89,132.676924591025
2025,"3419",43,51.0076119092267
2025,"3420",232,264.298907692456
2025,"3421",65,93.5975670580202
2025,"3422",55,68.5407672635292
2025,"3423",62,43.5478830022734
2025,"3424",16,25.1522857261226
2025,"3425",18,27.4804728197363
2025,"3426",25,26.7317884036346
2025,"3427",98,126.39243368716
2025,"3428",32,33.8153791154089
2025,"3429",41,39.3036860192346
2025,"3430",16,17.4048912362027
2025,"3431",50,42.5388766932671
2025,"3432",32,40.7464855698226
2025,"3433",41,42.7422819410312
2025,"3434",24,30.4164934552189
2025,"3435",52,62.1970623780964
2025,"3436",107,97.0795048232905
2025,"3437",125,99.095641518362
2025,"3438",39,46.813902653985
2025,"3439",88,95.9884609899703
2025,"3440",49,93.8373846197102
2025,"3441",77,96.2751436647292
2025,"3442",127,183.395842131251
2025,"3443",131,154.150011695847
2025,"3446",179,218.968688592585
2025,"3447",84,109.19221356152
2025,"3448",80,96.8749436819349
2025,"3449",43,46.60195436003
2025,"3450",26,28.7355417895923
2025,"3451",89,107.243873346599
2025,"3452",22,25.0185832550492
2025,"3453",30,38.6409065597199
2025,"3454",14,16.7784237943426
2025,"3901",237,275.85019904859
2025,"3903",234,292.073757130449
2025,"3905",721,723.295174989047
2025,"3907",804,707.325185143521
2025,"3909",585,642.830656427961
2025,"3911",313,305.10111718441
2025,"4001",438,396.945910167316
2025,"4003",601,640.164276981878
2025,"4005",192,220.749197491481
2025,"4012",145,151.20223498402
2025,"4014",142,202.084930550436
2025,"4016",53,63.90001770882
2025,"4018",116,142.168941600805
2025,"4020",107,133.852450171105
2025,"4022",43,52.0520205557025
2025,"4024",24,29.5957796345608
2025,"4026",92,90.7725979819324
2025,"4028",38,46.120811020838
2025,"4030",20,17.5145111289712
2025,"4032",11,18.6695538215268
2025,"4034",41,49.959356571786
2025,"4036",59,80.4557876627222
2025,"4201",78,82.8779558387558
2025,"4202",225,285.981867166384
2025,"4203",512,591.90552958939
2025,"4204",1254,1247.88565879526
2025,"4205",177,247.979227830776
2025,"4206",110,124.241097837585
2025,"4207",119,133.9975729221
2025,"4211",37,39.9409175629339
2025,"4213",108,124.947688712357
2025,"4214",65,63.7790760170254
2025,"4215",109,111.614836406254
2025,"4216",52,57.3879625991252
2025,"4217",20,23.0801802488084
2025,"4219",27,33.3742443531861
2025,"4220",24,27.3418882120779
2025,"4221",15,16.367453538549
2025,"4222",6,10.1560144690791
2025,"4223",180,186.175701542061
2025,"4225",135,121.661614679142
2025,"4226",30,29.0966372881616
2025,"4227",87,91.9115525597377
2025,"4228",20,24.5246242457915
2025,"4601",3126,3196.56031694062
2025,"4602",208,211.296479260922
2025,"4611",50,53.7726192282511
2025,"4612",46,62.2558556788928
2025,"4613",116,119.092416168392
2025,"4614",222,207.588141200367
2025,"4615",37,55.7168426719667
2025,"4616",32,45.789144446712
2025,"4617",160,202.033997878852
2025,"4618",147,169.175435083131
2025,"4619",11,20.8265209884056
2025,"4620",11,15.4365885311027
2025,"4621",151,217.75927624039
2025,"4622",138,146.233341213877
2025,"4623",28,30.901852713318
2025,"4624",267,304.386056969127
2025,"4625",48,62.8038071211351
2025,"4626",322,271.224039497156
2025,"4627",279,353.574000671708
2025,"4628",52,54.0081401954527
2025,"4630",73,105.188465552604
2025,"4631",286,332.304716657492
2025,"4632",38,34.1373361579852
2025,"4633",10,15.7224227904879
2025,"4634",34,35.8549420312169
2025,"4635",25,31.8017282563597
2025,"4636",11,15.0778255503374
2025,"4637",36,39.8699875359846
2025,"4638",104,118.629137986309
2025,"4639",32,55.6674457964241
2025,"4640",128,168.647461206214
2025,"4641",21,27.311429716224
2025,"4642",37,40.0785305626334
2025,"4643",94,94.8891326530049
2025,"4644",70,93.5604851012894
2025,"4645",48,44.3982512609246
2025,"4646",28,40.9686547829481
