"kommunenr_2024","år","kommunenr_hist_kilder","Y_4_ialt","folk_0_66","folk_67_79","folk_80p","folk_ialt","Y_1_a_ialt","Y_1_a_0_66","Y_1_a_67_79","Y_1_a_80p","Y_2_ialt","Y_3_a_ialt","Y_3_a_0_66","Y_3_a_67_79","Y_3_a_80p","Y_5_ialt"
"0301",2007,"0301",,488163,36281,24173,548617,16473,5659,2782,8032,,,,,,
"0301",2008,"0301",3.4,500404,36376,23704,560484,16367,5787,2695,7885,1095,,,,,
"0301",2009,"0301",3.2,515927,36134,23414,575475,17575,6854,3110,7611,1067,4594,485,708,3401,
"0301",2010,"0301",3.1,527058,36729,23073,586860,17318,6801,3069,7448,1227,4580,496,669,3415,
"0301",2011,"0301",3,538589,37705,22936,599230,16718,6582,2924,7212,1410,4341,456,686,3199,
"0301",2012,"0301",3,551046,39547,22692,613285,17127,7008,3020,7099,1223,4466,494,701,3271,
"0301",2013,"0301",3,560227,41420,22319,623966,16843,6894,3069,6880,1200,4471,500,727,3244,
"0301",2014,"0301",3.2,568404,44142,21917,634463,16770,7069,3090,6611,1232,4435,500,729,3206,
"0301",2015,"0301",3.09,579552,46553,21571,647676,16553,7148,3149,6256,1374,4365,492,728,3145,2359.34
"0301",2016,"0301",3.195,588553,48611,21226,658390,16511,7398,3213,5900,1401,4244,464,771,3009,2414.86
"0301",2017,"0301",3.3,595245,50547,20967,666759,16570,7599,,5687,1510,4069,412,756,2901,2485.53
"0301",2018,"0301",3.4,600523,52045,20901,673469,16585,7640,,5638,1633,3952,395,756,2801,2607.77
"0301",2019,"0301",3.4,606490,53622,20959,681071,17722,8247,,5844,1769,3921,416,766,2739,2766.535
"0301",2020,"0301",3.5,617080,55077,21337,693494,17378,8050,,5674,1870,4157,769,813,2575,2841.19
"0301",2021,"0301",3.5,619031,56266,21713,697010,17673,8290,,5566,1995,4119,821,849,2449,2879.68
"0301",2022,"0301",3.6,620511,57643,21673,699827,17627,8321,,5532,1791,4112,871,851,2390,2954.18
"0301",2023,"0301",3.5,628126,58809,22102,709037,17648,8370,,5471,1781,4107,871,912,2324,3090.305
"0301",2024,"0301",3.5,634872,59801,23037,717710,17875,8548,,5616,2222,3975,739,907,2329,3132
"0301",2025,"0301",3.5,639380,60499,24411,724290,17615,8383,,5589,2398,3759,594,848,2317,3123
"1101",2007,"1101",,11902,1099,593,13594,685,284,131,270,,,,,,
"1101",2008,"1101",6.7,12041,1131,606,13778,701,275,149,277,214,,,,,
"1101",2009,"1101",5.3,12230,1139,600,13969,606,217,126,263,171,26,0,,21,
"1101",2010,"1101",9.1,12414,1155,601,14170,64,15,17,32,172,8,0,,,
"1101",2011,"1101",7.7,12544,1193,609,14346,707,265,157,285,165,38,,6,24,
"1101",2012,"1101",6.5,12619,1263,593,14475,673,262,132,279,179,39,,6,25,
"1101",2013,"1101",7.6,12757,1266,613,14636,682,270,138,274,161,43,,7,28,
"1101",2014,"1101",7.2,12873,1312,626,14811,705,289,141,275,159,43,,5,30,
"1101",2015,"1101",8.61,12924,1373,619,14916,734,315,129,290,138,44,,6,30,88.095
"1101",2016,"1101",9.8,12885,1438,619,14942,710,319,129,262,143,51,,10,32,92.1
"1101",2017,"1101",10.3,12756,1524,619,14899,658,280,,251,131,51,,10,34,94.115
"1101",2018,"1101",9.6,12681,1580,637,14898,655,304,,227,141,44,,6,30,99.99
