"kommunenr_2024","år","timer","kilder"
"0301",2009,1682253,"0301"
"0301",2010,1651308,"0301"
"0301",2011,1486861,"0301"
"0301",2012,1506194,"0301"
"0301",2013,1561039,"0301"
"0301",2014,1605012,"0301"
"0301",2015,1655194,"0301"
"0301",2016,1710508,"0301"
"0301",2017,1790351,"0301"
"0301",2018,1895998,"0301"
"0301",2019,2005988,"0301"
"0301",2020,2119980,"0301"
"0301",2021,2145209,"0301"
"0301",2022,2121922,"0301"
"0301",2023,2186746,"0301"
"0301",2024,2129106,"0301"
"0301",2025,2079403,"0301"
"1101",2009,119035,"1101"
"1101",2010,25096,"1101"
"1101",2011,193657,"1101"
"1101",2012,192173,"1101"
"1101",2013,214349,"1101"
"1101",2014,212003,"1101"
"1101",2015,280708,"1101"
"1101",2016,314589,"1101"
"1101",2017,308395,"1101"
"1101",2018,279230,"1101"
"1101",2019,255044,"1101"
"1101",2020,301839,"1101"
"1101",2021,295195,"1101"
"1101",2022,292932,"1101"
"1101",2023,302376,"1101"
"1101",2024,300889,"1101"
"1101",2025,302560,"1101"
"1103",2009,658081,"1103+1141+1142"
"1103",2010,731636,"1103+1141+1142"
"1103",2011,724509,"1103+1141+1142"
"1103",2012,717974,"1103+1141+1142"
"1103",2013,670007,"1103+1141+1142"
"1103",2014,680745,"1103+1141+1142"
"1103",2015,658122,"1103+1141+1142"
"1103",2016,624882,"1103+1141+1142"
"1103",2017,589213,"1103+1141+1142"
"1103",2018,606556,"1103+1141+1142"
"1103",2019,603281,"1103+1141+1142"
"1103",2020,552433,"1103+1141+1142"
"1103",2021,551418,"1103+1141+1142"
"1103",2022,531167,"1103+1141+1142"
"1103",2023,541472,"1103+1141+1142"
"1103",2024,558883,"1103+1141+1142"
"1103",2025,543210,"1103+1141+1142"
"1106",2009,396251,"1106"
"1106",2010,376594,"1106"
"1106",2011,398081,"1106"
"1106",2012,416619,"1106"
"1106",2013,332093,"1106"
"1106",2014,312132,"1106"
"1106",2015,296984,"1106"
"1106",2016,299079,"1106"
"1106",2017,317485,"1106"
"1106",2018,330739,"1106"
"1106",2019,367240,"1106"
"1106",2020,398538,"1106"
"1106",2021,400462,"1106"
"1106",2022,380772,"1106"
"1106",2023,412252,"1106"
"1106",2024,434945,"1106"
"1106",2025,446326,"1106"
"1108",2009,394145,"1102+1108+1129"
"1108",2010,445443,"1102+1108+1129"
"1108",2011,448929,"1102+1108+1129"
"1108",2012,452868,"1102+1108+1129"
"1108",2013,441993,"1102+1108+1129"
